[2026-06-19 14:42:20] DATA_REC_STREAM -> 온도: 18 °C, 습도: 49 %
[2026-06-19 14:42:30] DATA_REC_STREAM -> 온도: 19 °C, 습도: 46 %
[2026-06-19 14:42:40] DATA_REC_STREAM -> 온도: 22 °C, 습도: 60 %
[2026-06-19 14:42:50] DATA_REC_STREAM -> 온도: 16 °C, 습도: 63 %
[2026-06-19 14:43:00] DATA_REC_STREAM -> 온도: 19 °C, 습도: 64 %
[2026-06-19 14:43:10] DATA_REC_STREAM -> 온도: 23 °C, 습도: 46 %
[2026-06-19 14:43:20] DATA_REC_STREAM -> 온도: 19 °C, 습도: 63 %
[2026-06-19 14:43:30] DATA_REC_STREAM -> 온도: 20 °C, 습도: 59 %
[2026-06-19 14:43:40] DATA_REC_STREAM -> 온도: 24 °C, 습도: 49 %
[2026-06-19 14:46:16] DATA_REC_STREAM -> 온도: 22 °C, 습도: 46 %
[2026-06-19 14:46:26] DATA_REC_STREAM -> 온도: 17 °C, 습도: 48 %
[2026-06-19 14:46:36] DATA_REC_STREAM -> 온도: 19 °C, 습도: 42 %
[2026-06-19 14:46:46] DATA_REC_STREAM -> 온도: 21 °C, 습도: 48 %
[2026-06-19 14:46:56] DATA_REC_STREAM -> 온도: 20 °C, 습도: 52 %
[2026-06-19 14:47:06] DATA_REC_STREAM -> 온도: 27 °C, 습도: 56 %
[2026-06-19 14:47:16] DATA_REC_STREAM -> 온도: 20 °C, 습도: 46 %
[2026-06-19 14:47:26] DATA_REC_STREAM -> 온도: 24 °C, 습도: 43 %
[2026-06-19 14:47:36] DATA_REC_STREAM -> 온도: 26 °C, 습도: 60 %
[2026-06-19 14:47:46] DATA_REC_STREAM -> 온도: 17 °C, 습도: 51 %
[2026-06-19 14:47:56] DATA_REC_STREAM -> 온도: 16 °C, 습도: 55 %
[2026-06-19 14:48:06] DATA_REC_STREAM -> 온도: 23 °C, 습도: 63 %
[2026-06-19 14:48:16] DATA_REC_STREAM -> 온도: 19 °C, 습도: 58 %
[2026-06-19 14:48:26] DATA_REC_STREAM -> 온도: 20 °C, 습도: 61 %
[2026-06-19 14:48:36] DATA_REC_STREAM -> 온도: 17 °C, 습도: 40 %
[2026-06-19 14:48:46] DATA_REC_STREAM -> 온도: 22 °C, 습도: 63 %
[2026-06-19 14:48:56] DATA_REC_STREAM -> 온도: 21 °C, 습도: 50 %
[2026-06-19 14:49:06] DATA_REC_STREAM -> 온도: 28 °C, 습도: 48 %
[2026-06-19 14:49:16] DATA_REC_STREAM -> 온도: 28 °C, 습도: 44 %
[2026-06-19 14:49:26] DATA_REC_STREAM -> 온도: 16 °C, 습도: 44 %
[2026-06-19 14:49:36] DATA_REC_STREAM -> 온도: 25 °C, 습도: 49 %
[2026-06-19 14:49:46] DATA_REC_STREAM -> 온도: 27 °C, 습도: 59 %
[2026-06-19 14:49:56] DATA_REC_STREAM -> 온도: 17 °C, 습도: 59 %
[2026-06-19 14:50:06] DATA_REC_STREAM -> 온도: 20 °C, 습도: 62 %
[2026-06-19 14:50:16] DATA_REC_STREAM -> 온도: 19 °C, 습도: 61 %
[2026-06-19 14:50:26] DATA_REC_STREAM -> 온도: 26 °C, 습도: 49 %
[2026-06-19 14:50:36] DATA_REC_STREAM -> 온도: 16 °C, 습도: 63 %
[2026-06-19 14:50:46] DATA_REC_STREAM -> 온도: 19 °C, 습도: 62 %
[2026-06-19 14:50:56] DATA_REC_STREAM -> 온도: 18 °C, 습도: 57 %
[2026-06-19 14:51:06] DATA_REC_STREAM -> 온도: 21 °C, 습도: 62 %
[2026-06-19 14:51:16] DATA_REC_STREAM -> 온도: 24 °C, 습도: 55 %
[2026-06-19 14:51:26] DATA_REC_STREAM -> 온도: 28 °C, 습도: 54 %
[2026-06-19 14:51:36] DATA_REC_STREAM -> 온도: 16 °C, 습도: 42 %
[2026-06-19 14:51:46] DATA_REC_STREAM -> 온도: 20 °C, 습도: 58 %
[2026-06-19 14:51:56] DATA_REC_STREAM -> 온도: 15 °C, 습도: 52 %
[2026-06-19 14:52:06] DATA_REC_STREAM -> 온도: 24 °C, 습도: 55 %
[2026-06-19 14:52:16] DATA_REC_STREAM -> 온도: 17 °C, 습도: 60 %
[2026-06-19 14:52:26] DATA_REC_STREAM -> 온도: 27 °C, 습도: 59 %
[2026-06-19 14:52:36] DATA_REC_STREAM -> 온도: 27 °C, 습도: 63 %
[2026-06-19 14:52:46] DATA_REC_STREAM -> 온도: 28 °C, 습도: 51 %
[2026-06-19 14:52:56] DATA_REC_STREAM -> 온도: 21 °C, 습도: 57 %
[2026-06-19 14:53:06] DATA_REC_STREAM -> 온도: 17 °C, 습도: 55 %
[2026-06-19 14:53:16] DATA_REC_STREAM -> 온도: 18 °C, 습도: 47 %
[2026-06-19 14:53:26] DATA_REC_STREAM -> 온도: 20 °C, 습도: 51 %
[2026-06-19 14:53:36] DATA_REC_STREAM -> 온도: 15 °C, 습도: 61 %
[2026-06-19 14:53:46] DATA_REC_STREAM -> 온도: 17 °C, 습도: 46 %
[2026-06-19 14:53:56] DATA_REC_STREAM -> 온도: 28 °C, 습도: 64 %
[2026-06-19 14:54:06] DATA_REC_STREAM -> 온도: 26 °C, 습도: 48 %
[2026-06-19 14:54:16] DATA_REC_STREAM -> 온도: 16 °C, 습도: 44 %
[2026-06-19 14:54:26] DATA_REC_STREAM -> 온도: 20 °C, 습도: 49 %
[2026-06-19 14:54:36] DATA_REC_STREAM -> 온도: 21 °C, 습도: 47 %
[2026-06-19 14:54:46] DATA_REC_STREAM -> 온도: 20 °C, 습도: 59 %
[2026-06-19 14:54:56] DATA_REC_STREAM -> 온도: 22 °C, 습도: 54 %
[2026-06-19 14:55:06] DATA_REC_STREAM -> 온도: 20 °C, 습도: 54 %
[2026-06-19 14:55:16] DATA_REC_STREAM -> 온도: 18 °C, 습도: 41 %
[2026-06-19 14:55:26] DATA_REC_STREAM -> 온도: 16 °C, 습도: 61 %
[2026-06-19 14:55:36] DATA_REC_STREAM -> 온도: 15 °C, 습도: 51 %
[2026-06-19 14:55:46] DATA_REC_STREAM -> 온도: 23 °C, 습도: 49 %
[2026-06-19 14:55:56] DATA_REC_STREAM -> 온도: 16 °C, 습도: 52 %
[2026-06-19 14:56:06] DATA_REC_STREAM -> 온도: 23 °C, 습도: 40 %
[2026-06-19 14:56:16] DATA_REC_STREAM -> 온도: 25 °C, 습도: 54 %
[2026-06-19 14:56:26] DATA_REC_STREAM -> 온도: 24 °C, 습도: 47 %
[2026-06-19 14:56:36] DATA_REC_STREAM -> 온도: 15 °C, 습도: 58 %
